0,0,0,0
0.0006,0.0567,5.3484,0.0001
0.0018,0.1241,6.9416,0.0004
0.0038,0.202,8.0382,0.0008
0.0066,0.2817,7.8493,0.0014
0.0102,0.3626,8.1146,0.0022
0.0146,0.4424,8.0741,0.0033
0.0199,0.5226,7.9479,0.0045
0.0259,0.6033,8.0798,0.006
0.0327,0.6834,8.0632,0.0076
0.0404,0.7637,7.977,0.0095
0.0488,0.8444,8.0671,0.0116
0.058,0.9246,8.0571,0.0139
0.0681,1.005,7.9914,0.0165
0.079,1.0857,8.0608,0.0192
0.0906,1.1659,8.0534,0.0221
0.103,1.246,8.0506,0.0253
0.1163,1.3262,8.0007,0.0287
0.1304,1.4067,8.055,0.0323
0.1452,1.4869,8.0496,0.0361
0.1609,1.5672,8.007,0.0402
0.1774,1.6478,8.0538,0.0445
0.1947,1.7282,8.049,0.049
0.2128,1.8087,8.0117,0.0537
0.2316,1.8891,8.0885,0.0587
0.2513,1.9693,8.009,0.0638
0.2718,2.0497,8.0516,0.0693
0.2932,2.1302,8.016,0.0749
0.3152,2.2107,8.0834,0.0808
0.3381,2.2909,8.0134,0.087
0.3618,2.3714,8.0518,0.0934
0.3863,2.4517,8.0479,0.1
0.4117,2.5322,8.0204,0.1069
0.4377,2.6127,8.0795,0.114
0.4647,2.6929,8.0179,0.1214
0.4924,2.7735,8.0526,0.1291
0.521,2.8539,8.0489,0.137
0.5504,2.9345,8.0248,0.1452
0.5805,3.0151,8.0778,0.1536
0.6115,3.0954,8.0223,0.1623
0.6432,3.1759,8.0773,0.1713
0.6758,3.2563,8.0236,0.1806
0.7091,3.3368,8.0549,0.1901
0.7433,3.4173,8.0514,0.2
0.7783,3.4978,8.0518,0.2101
0.814,3.5783,8.0522,0.2205
0.8507,3.6589,8.0321,0.2312
0.8881,3.7395,8.078,0.2422
0.9262,3.8199,8.0496,0.2535
0.9653,3.9004,8.0345,0.2651
1.0051,3.9811,8.0788,0.277
1.0456,4.0615,8.0513,0.2893
1.0871,4.142,8.0371,0.3018
1.1293,4.2226,8.08,0.3147
1.1724,4.3031,8.0348,0.328
1.2161,4.3838,8.081,0.3415
1.2609,4.4643,8.0366,0.3554
1.3063,4.5451,8.0821,0.3697
1.3525,4.6255,8.0561,0.3842
1.3996,4.7061,8.0438,0.3992
1.4475,4.7869,8.0841,0.4145
1.4961,4.8674,8.0586,0.4302
1.5456,4.948,8.0638,0.4462
1.5958,5.0287,8.0648,0.4626
1.6469,5.1094,8.0657,0.4794
1.6989,5.1901,8.0667,0.4966
1.7516,5.2708,8.0677,0.5142
1.8052,5.3516,8.0688,0.5322
1.8594,5.4323,8.086,0.5506
