0,0,0,0.0009
0.0008,0.0688,5.8888,0.0052
0.002,0.1454,8.9566,0.0139
0.0043,0.2276,8.2731,0.0287
0.0076,0.3224,9.1877,0.0521
0.0116,0.4176,9.9679,0.0825
0.0168,0.5062,8.5914,0.1207
0.0227,0.604,10.0069,0.1667
0.0297,0.6933,8.9211,0.2196
0.0375,0.7875,9.5089,0.2802
0.0463,0.8791,9.0983,0.3485
0.0561,0.9738,9.4933,0.4246
0.0668,1.0658,9.1035,0.5083
0.0783,1.1613,9.7055,0.5988
0.0907,1.2504,8.9319,0.6961
0.1043,1.3435,9.2407,0.8017
0.1187,1.438,9.4441,0.915
0.1339,1.5305,9.282,1.0348
0.1502,1.6217,9.0706,1.1621
0.1674,1.7159,9.4101,1.2969
0.1854,1.8081,9.2481,1.4381
0.2043,1.8998,9.2346,1.5858
0.2242,1.9903,9.0318,1.7407
0.245,2.0837,9.3585,1.9029
0.2669,2.1743,9.0122,2.0722
0.2896,2.2678,9.3298,2.2485
0.3132,2.3594,9.1679,2.431
0.3376,2.4507,9.1519,2.6197
0.3629,2.5416,9.1356,2.8143
0.3893,2.6312,8.9433,3.0158
0.4165,2.7237,9.2485,3.224
0.4446,2.8144,9.0859,3.4381
0.4738,2.9037,8.8975,3.6587
0.5036,2.997,9.3658,3.8849
0.5345,3.0843,8.7184,4.1168
0.5662,3.1758,9.1542,4.355
0.5989,3.2657,8.9921,4.5986
0.6326,3.3541,8.8085,4.8483
0.6669,3.4465,9.2563,5.1033
0.7022,3.5341,8.789,5.3626
0.7385,3.6218,8.7483,5.6278
0.7757,3.7123,9.0252,5.8988
0.8136,3.8022,9.0242,6.1738
0.8525,3.8878,8.5476,6.4537
0.8923,3.9775,8.9556,6.7389
0.9329,4.0666,8.9518,7.028
0.9744,4.1516,8.4841,7.3215
1.0169,4.2406,8.883,7.6202
1.0601,4.3291,8.8768,7.9224
1.1043,4.4135,8.419,8.2288
1.1493,4.503,8.9574,8.5392
1.1951,4.5881,8.5205,8.8528
1.2419,4.6743,8.6275,9.1703
1.2895,4.7604,8.6029,9.4915
1.338,4.8463,8.5783,9.8164
1.3873,4.9331,8.6964,10.144
1.4374,5.0171,8.4014,10.4744
1.4884,5.1021,8.5039,10.8081
1.5404,5.1871,8.4794,11.1449
1.5931,5.2729,8.5926,11.4842
1.6466,5.356,8.3069,11.8257
1.7011,5.4402,8.4059,12.1702
1.7564,5.5253,8.5159,12.5167
1.8123,5.6088,8.3704,12.8645
1.8694,5.6899,8.0837,13.215
1.927,5.7766,8.6912,13.5672
1.9857,5.856,7.9239,13.9211
2.045,5.9422,8.6382,14.2766
2.1052,6.0223,8.0101,14.633
2.1664,6.1046,8.2197,14.9915
2.2283,6.1879,8.3223,15.3512
2.2909,6.2697,8.1873,15.7116
2.3543,6.3512,8.1661,16.0726
2.4186,6.4315,8.0241,16.4346
2.4838,6.5138,8.2346,16.7976
2.5498,6.5938,7.9867,17.1614
2.6165,6.6768,8.3117,17.5256
2.6841,6.7553,7.8439,17.8898
2.7525,6.8369,8.1542,18.2548
2.8216,6.9172,8.031,18.6197
2.8916,6.9973,8.0137,18.9846
2.9623,7.0772,7.997,19.3494
3.034,7.1561,7.8703,19.7145
3.1063,7.2377,8.1758,20.0795
3.1794,7.3162,7.8505,20.4435
3.2535,7.3946,7.8286,20.8078
3.3282,7.4758,8.1262,21.1717
3.4037,7.5539,7.812,21.5346
3.48,7.6328,7.8959,21.8969
3.5571,7.7116,7.8838,22.2588
3.635,7.7904,7.8723,22.62
3.7138,7.869,7.8613,22.9807
3.7933,7.9476,7.8509,23.3406
3.8735,8.027,7.9404,23.6993
3.9545,8.1043,7.7418,24.0568
4.0364,8.1826,7.823,24.4135
4.119,8.2608,7.8148,24.7695
4.2023,8.3397,7.9025,25.1241
4.2865,8.4168,7.7139,25.4773
4.3715,8.4948,7.7935,25.8297
4.4573,8.5728,7.7874,26.1812
4.5438,8.6515,7.8733,26.5313
4.6311,8.7285,7.6944,26.88
4.7191,8.807,7.8619,27.2273
4.8079,8.8838,7.6874,27.5731
4.8976,8.9616,7.7646,27.918
4.9879,9.04,7.8484,28.2615
5.0791,9.1168,7.6807,28.6035
5.171,9.1951,7.8418,28.944
5.2637,9.2719,7.6783,29.2832
5.3573,9.3496,7.7536,29.6213
5.4515,9.4279,7.8351,29.958
5.5467,9.5047,7.6781,30.2933
5.6425,9.583,7.8329,30.6271
5.7389,9.6605,7.7598,30.9591
5.8365,9.7367,7.6022,31.2901
5.9345,9.8164,7.9825,31.6197
6.0336,9.8919,7.5372,31.9479
6.1331,9.9715,7.9812,32.2748
6.2335,10.0477,7.6211,32.5999
6.3349,10.1254,7.7616,32.924
6.4368,10.2037,7.8393,33.2468
6.5397,10.2808,7.7007,33.5683
6.6432,10.3592,7.8445,33.8885
6.7477,10.4363,7.7092,34.2075
6.8528,10.5148,7.8509,34.5251
6.9587,10.592,7.7188,34.8416
7.0654,10.6706,7.8586,35.1568
7.1729,10.7479,7.7296,35.4709
7.2813,10.826,7.7979,35.7841
7.3902,10.9053,7.9419,36.0959
7.5001,10.9816,7.6183,36.4066
7.6108,11.061,7.9438,36.7165
7.722,11.1392,7.8289,37.0251
7.8342,11.2169,7.7686,37.3326
7.9472,11.2953,7.8352,37.6395
8.0609,11.3743,7.9082,37.9455
8.1755,11.4523,7.7918,38.2505
8.2907,11.5314,7.9224,38.5547
8.407,11.609,7.7446,38.8583
8.5237,11.6895,8.0585,39.1611
8.6415,11.7666,7.707,39.4632
8.7599,11.8467,8.0101,39.7648
8.8792,11.9252,7.8454,40.0657
8.9991,12.0048,7.9723,40.366
9.1201,12.083,7.8042,40.666
9.2417,12.1634,8.0454,40.9658
9.3642,12.2423,7.8869,41.265
9.4872,12.3223,8.012,41.5637
9.6113,12.4008,7.8496,41.8624
9.7362,12.4812,8.0267,42.1612
9.8617,12.5616,8.0454,42.4597
9.9881,12.641,7.9461,42.758
10.1154,12.7206,7.9524,43.0566
10.2433,12.8019,8.1337,43.3553
10.3723,12.8812,7.9285,43.6542
10.5018,12.9628,8.1601,43.9534
10.6323,13.0424,7.9578,44.2528
10.7636,13.1237,8.131,44.5529
10.8956,13.2047,8.0962,44.8534
11.0284,13.2857,8.1122,45.1544
11.1619,13.3669,8.1287,45.456
11.2964,13.4478,8.0895,45.7584
11.4316,13.5077,5.9784,46.0619
11.566,13.4453,-6.2416,46.3644
11.6997,13.3608,-8.4495,46.6644
11.8325,13.2764,-8.4273,46.9621
11.9643,13.1929,-8.3649,47.2572
12.0955,13.1081,-8.4744,47.5501
12.2256,13.0254,-8.2758,47.8409
12.3551,12.941,-8.4346,48.1297
12.4837,12.8582,-8.2786,48.4169
12.6115,12.7751,-8.3086,48.7022
12.7384,12.6922,-8.291,48.9859
12.8645,12.6095,-8.2739,49.2678
12.9896,12.527,-8.2573,49.5481
13.1141,12.4441,-8.2814,49.8273
13.2378,12.3623,-8.1772,50.1052
13.3605,12.2803,-8.2101,50.3818
13.4826,12.1978,-8.2356,50.6574
13.6038,12.1165,-8.1324,50.932
13.724,12.0349,-8.1666,51.2055
13.8436,11.9529,-8.1935,51.4781
13.9622,11.8721,-8.0908,51.75
14.0802,11.7904,-8.1671,52.0212
14.1972,11.7098,-8.0647,52.2918
14.3136,11.6283,-8.1421,52.5618
14.429,11.548,-8.0396,52.8314
14.5437,11.4668,-8.1182,53.1004
14.6577,11.3861,-8.0571,53.3694
14.7707,11.3061,-8.004,53.638
14.8828,11.2257,-8.0423,53.906
14.9944,11.1445,-8.1154,54.1741
15.1051,11.0653,-7.9201,54.4423
15.2148,10.9853,-8.0099,54.7101
15.324,10.9043,-8.0849,54.9782
15.4323,10.8254,-7.8875,55.2465
15.5396,10.7458,-7.9793,55.5145
15.6464,10.6651,-8.0565,55.7829
15.7522,10.5865,-7.8563,56.0517
15.8573,10.5066,-7.9946,56.3207
15.9614,10.4278,-7.8886,56.5899
16.065,10.3475,-8.0214,56.8597
16.1677,10.2693,-7.8168,57.1301
16.2696,10.1897,-7.9597,57.4009
16.3708,10.1107,-7.8975,57.6724
16.471,10.0324,-7.8428,57.9443
16.5704,9.9531,-7.9355,58.2167
16.6694,9.8737,-7.9193,58.4903
16.7671,9.7967,-7.7138,58.7645
16.8644,9.7165,-8.0165,59.0392
16.9609,9.6385,-7.7927,59.3153
17.0564,9.5606,-7.7927,59.5921
17.1512,9.4817,-7.8915,59.8696
17.2453,9.4034,-7.8269,60.1483
17.3386,9.3252,-7.8199,60.4281
17.431,9.2477,-7.7623,60.7087
17.5226,9.1691,-7.8659,60.9903
17.6137,9.0904,-7.8514,61.2734
17.7036,9.0142,-7.6281,61.5576
17.793,8.9346,-7.9627,61.8427
17.8817,8.8572,-7.7202,62.1296
17.9695,8.7801,-7.722,62.4176
18.0565,8.7017,-7.8337,62.7067
18.1428,8.624,-7.7656,62.9973
18.2282,8.5471,-7.7046,63.2891
18.3128,8.4689,-7.821,63.582
18.3967,8.3914,-7.7516,63.8766
18.4799,8.3138,-7.7475,64.1729
18.5622,8.2371,-7.6849,64.4704
18.6438,8.159,-7.8079,64.7693
18.7247,8.0816,-7.7369,65.0699
18.8046,8.0049,-7.6732,65.3719
18.8841,7.9261,-7.8626,65.6757
18.9625,7.8509,-7.5337,65.9809
19.0401,7.7722,-7.8712,66.2872
19.1171,7.695,-7.7264,66.5953
19.1934,7.6176,-7.7254,66.9054
19.2688,7.541,-7.6594,67.217
19.3434,7.4638,-7.7335,67.5297
19.4172,7.3857,-7.8014,67.8439
19.4904,7.3084,-7.7264,68.1601
19.5627,7.2318,-7.6589,68.4779
19.6342,7.1545,-7.7386,68.7968
19.705,7.0763,-7.8122,69.1173
19.775,6.9997,-7.6639,69.4394
19.8443,6.9214,-7.821,69.7631
19.9127,6.8447,-7.6704,70.0884
19.9804,6.7671,-7.758,70.4148
20.0472,6.6896,-7.7639,70.7423
20.1134,6.611,-7.8471,71.0714
20.1787,6.5341,-7.6912,71.4021
20.2433,6.4562,-7.7859,71.7338
20.307,6.3783,-7.7947,72.0666
20.37,6.3003,-7.8044,72.4004
20.4323,6.2212,-7.8964,72.7358
20.4937,6.1448,-7.6509,73.0721
20.5543,6.0656,-7.9322,73.4088
20.6143,5.986,-7.9362,73.7469
20.6734,5.9092,-7.6836,74.0859
20.7316,5.8295,-7.9777,74.4252
20.7892,5.7505,-7.8965,74.7652
20.8457,5.6724,-7.8235,75.1054
20.9018,5.5911,-8.1221,75.4463
20.9569,5.5135,-7.7565,75.7878
21.0112,5.4327,-8.073,76.1292
21.0647,5.3539,-7.8966,76.4705
21.1174,5.2727,-8.1185,76.8117
21.1694,5.1922,-8.0354,77.1532
21.2206,5.1126,-7.9621,77.4943
21.2708,5.0318,-8.0955,77.8344
21.3203,4.9495,-8.2211,78.1739
21.369,4.8692,-8.0365,78.5129
21.4169,4.7862,-8.2781,78.8511
21.4639,4.7066,-7.9874,79.1878
21.5101,4.622,-8.4564,79.5229
21.5555,4.5405,-8.1494,79.857
21.6001,4.4575,-8.2988,80.1893
21.644,4.3729,-8.4377,80.5203
21.6869,4.2916,-8.1357,80.8492
21.7289,4.2064,-8.5226,81.1752
