0,0,0,-0.2636
0.0014,0.0664,3.0692,-0.2603
0.0046,0.1658,5.2707,-0.251
0.01,0.271,5.2358,-0.2338
0.0174,0.3796,5.5899,-0.2082
0.0273,0.487,5.2838,-0.1737
0.0391,0.5978,5.5965,-0.1304
0.0533,0.7058,5.3885,-0.0787
0.0695,0.8155,5.5011,-0.0181
0.0881,0.9245,5.4291,0.0515
0.1086,1.0345,5.5555,0.1295
0.1315,1.1425,5.3708,0.2165
0.1566,1.2532,5.5377,0.313
0.1837,1.3627,5.4954,0.4181
0.2131,1.4717,5.4589,0.5322
0.2448,1.5816,5.4894,0.6559
0.2787,1.6918,5.4971,0.7892
0.3147,1.8023,5.5418,0.9317
0.353,1.9118,5.4524,1.0839
0.3934,2.0231,5.579,1.2459
0.4362,2.1328,5.4702,1.4177
0.4809,2.2443,5.5949,1.5994
0.528,2.3541,5.4886,1.7911
0.5773,2.4656,5.5787,1.9932
0.6288,2.5763,5.5323,2.2059
0.6827,2.6879,5.5666,2.4296
0.7387,2.8,5.6103,2.6639
0.7969,2.9113,5.5657,2.9091
0.8573,3.0233,5.6009,3.1655
0.92,3.1355,5.6131,3.4334
0.9849,3.2478,5.6256,3.7127
1.0521,3.36,5.6073,4.004
1.1217,3.4731,5.6446,4.3078
1.1934,3.5868,5.6894,4.6238
1.2673,3.6998,5.6486,4.9521
1.3436,3.8134,5.6868,5.2932
1.4222,3.927,5.6711,5.6477
1.5031,4.0418,5.7404,6.0156
1.5861,4.1563,5.7312,6.3966
1.6714,4.2705,5.7159,6.7913
1.7592,4.3852,5.7256,7.2005
1.8493,4.5012,5.7954,7.6244
1.9416,4.6169,5.7862,8.0627
2.0361,4.7327,5.801,8.5152
2.1331,4.8479,5.7563,8.9832
2.2325,4.9649,5.8499,9.4669
2.3341,5.0817,5.8392,9.9661
2.4381,5.1982,5.8231,10.4811
2.5444,5.3155,5.8608,11.0124
2.653,5.4334,5.902,11.5596
2.764,5.5499,5.8288,12.1231
2.8774,5.6678,5.8887,12.7036
2.993,5.7862,5.9261,13.3008
3.1112,5.9033,5.849,13.9148
3.2316,6.022,5.9332,14.546
3.3544,6.1401,5.9103,15.1937
3.4796,6.2572,5.8527,15.8586
3.6071,6.3763,5.9584,16.5404
3.737,6.4933,5.8449,17.2387
3.8692,6.6115,5.9154,17.9537
4.0037,6.7285,5.8495,18.6848
4.1406,6.8457,5.8589,19.432
4.2799,6.9619,5.811,20.1951
4.4215,7.0787,5.8398,20.9735
4.5653,7.1944,5.7857,21.7659
4.7115,7.3083,5.6972,22.5725
4.86,7.4231,5.7356,23.3928
5.0107,7.5364,5.6669,24.2254
5.1637,7.6483,5.5909,25.0695
5.3189,7.76,5.5869,25.924
5.4763,7.8695,5.4762,26.7876
5.6358,7.9782,5.4343,27.6595
5.7975,8.0854,5.3628,28.5381
5.9613,8.1911,5.2858,29.4219
6.1272,8.2947,5.1792,30.3096
6.2952,8.3975,5.1385,31.1996
6.4651,8.4979,5.0234,32.0895
6.6371,8.5956,4.8807,32.9783
6.8109,8.6929,4.8675,33.8641
6.9867,8.7869,4.6974,34.7442
7.1642,8.8794,4.63,35.6167
7.3426,8.9155,1.8015,36.4773
7.5205,8.8958,-0.9835,37.3188
7.6973,8.8431,-2.6399,38.1351
7.8715,8.714,-6.4544,38.9209
8.0431,8.5772,-6.84,39.6722
8.2119,8.4399,-6.8626,40.3888
8.378,8.3029,-6.8497,41.0704
8.5413,8.1656,-6.8604,41.7171
8.7018,8.0289,-6.8396,42.3289
8.8597,7.8919,-6.8511,42.9061
9.0148,7.7555,-6.8197,43.4493
9.1672,7.6197,-6.7911,43.9588
9.3169,7.484,-6.7821,44.4347
9.4638,7.3489,-6.7582,44.8775
9.6081,7.2142,-6.7328,45.2879
9.7497,7.0801,-6.7062,45.6662
9.8887,6.9465,-6.6786,46.0131
10.0249,6.8136,-6.6458,46.3288
