0,0,0,0.0012
0.0011,0.0512,2.4486,0.0108
0.0034,0.1216,3.6806,0.0384
0.0074,0.1955,3.639,0.0913
0.0126,0.2651,3.5355,0.1706
0.0194,0.3387,3.6498,0.2766
0.0276,0.4093,3.5178,0.4103
0.0371,0.4792,3.5338,0.5696
0.0482,0.5521,3.6455,0.7558
0.0606,0.6215,3.4732,0.9702
0.0745,0.693,3.5617,1.213
0.0897,0.7619,3.4402,1.4844
0.1063,0.8314,3.4824,1.7834
0.1244,0.9016,3.5073,2.1114
0.1437,0.9688,3.3716,2.4686
0.1644,1.038,3.4618,2.8554
0.1865,1.1054,3.3718,3.2731
0.21,1.1724,3.3458,3.722
0.2348,1.2388,3.3186,4.2025
0.2609,1.3046,3.2907,4.7147
0.2884,1.3711,3.3185,5.2601
0.3169,1.4331,3.1112,5.8378
0.347,1.5011,3.3891,6.4493
0.3783,1.5621,3.0485,7.0959
0.4107,1.6251,3.1578,7.7753
0.4446,1.6903,3.2553,8.4901
0.4795,1.7498,2.9824,9.2405
0.5158,1.8144,3.2251,10.0264
0.5533,1.8748,3.0195,10.8491
0.5921,1.9365,3.0842,11.7072
0.632,1.9982,3.0874,12.6002
0.6732,2.0614,3.1607,13.5293
0.7156,2.1223,3.0494,14.4939
0.7594,2.1866,3.2104,15.4934
0.8043,2.2489,3.1189,16.527
0.8507,2.315,3.302,17.5937
0.8982,2.3796,3.2341,18.6926
0.9472,2.4485,3.4418,19.8223
0.9976,2.5166,3.4004,20.9814
1.0494,2.588,3.5714,22.167
1.1026,2.6617,3.6869,23.3773
1.1572,2.7367,3.7537,24.609
1.2137,2.8184,4.0815,25.8614
1.2715,2.8967,3.9188,27.1309
1.3312,2.9846,4.3955,28.4139
1.3927,3.0722,4.3731,29.7093
1.456,3.1632,4.5538,31.012
1.5212,3.2591,4.7939,32.3184
1.5884,3.3586,4.971,33.6259
1.6576,3.4604,5.0936,34.931
1.7289,3.5669,5.3275,36.23
1.8025,3.6769,5.4948,37.5206
1.8781,3.7879,5.5557,38.7986
1.9563,3.9063,5.9174,40.0618
2.0368,4.0234,5.8527,41.3083
2.1196,4.1442,6.0456,42.5334
2.2051,4.2703,6.3018,43.7367
2.2929,4.3938,6.1759,44.9158
2.3835,4.5238,6.4975,46.0688
2.4764,4.6509,6.3606,47.1937
2.572,4.7837,6.6413,48.2892
2.6704,4.9151,6.5665,49.3554
2.7714,5.0482,6.6513,50.3912
2.875,5.1812,6.6486,51.3954
2.9812,5.3146,6.6782,52.3667
3.0902,5.4504,6.7889,53.3059
3.202,5.5843,6.6883,54.2136
3.3163,5.7181,6.6941,55.0889
3.4333,5.8524,6.7196,55.9314
3.5531,5.9871,6.7297,56.7423
3.6755,6.1202,6.6557,57.5218
3.8006,6.2535,6.6642,58.2701
3.9284,6.3863,6.6393,58.9875
4.0588,6.5186,6.6123,59.6748
4.1916,6.6498,6.5651,60.3319
4.3273,6.7818,6.5959,60.9599
4.4655,6.9114,6.4846,61.5595
4.6065,7.0421,6.5313,62.131
4.7498,7.1707,6.4289,62.6751
4.8958,7.2998,6.4544,63.192
5.0444,7.4279,6.406,63.6826
5.1945,7.5068,3.9445,64.1457
5.3453,7.538,1.5599,64.5798
5.4966,7.5686,1.5322,64.9847
5.6486,7.5986,1.497,65.3619
5.8011,7.6263,1.387,65.7129
5.9543,7.6533,1.3477,66.0387
6.1077,7.6786,1.2663,66.3404
6.2619,7.7034,1.2426,66.6192
6.4163,7.7265,1.1539,66.8758
6.5714,7.7496,1.1524,67.1113
6.7267,7.7708,1.0607,67.3263
6.8826,7.7921,1.0686,67.5216
7.0389,7.8122,1.0033,67.6981
7.1955,7.8318,0.9793,67.8561
7.3524,7.8508,0.9506,67.9962
7.5098,7.8694,0.9283,68.1189
7.6676,7.8873,0.8992,68.2247
7.8258,7.9049,0.8781,68.3141
7.9843,7.9221,0.8593,68.3873
8.143,7.939,0.8426,68.4446
8.3021,7.9555,0.8281,68.4864
8.4615,7.9718,0.8157,68.5128
8.6213,7.9879,0.8029,68.5242
8.7813,8.0038,0.7949,68.5207
8.9417,8.0195,0.7855,68.5023
9.1025,8.0351,0.7815,68.4693
9.2635,8.0507,0.7773,68.4217
9.4247,8.0662,0.775,68.3597
9.5863,8.0816,0.7705,68.283
9.7483,8.097,0.7733,68.1919
9.9106,8.1126,0.7756,68.0861
10.0732,8.1281,0.7794,67.9657
10.2359,8.1439,0.7906,67.8306
10.3991,8.1595,0.78,67.6808
10.5627,8.1755,0.7979,67.5158
10.7266,8.1918,0.8153,67.3356
10.8908,8.2081,0.8124,67.1401
11.0552,8.2249,0.8406,66.929
11.22,8.2416,0.8383,66.7021
11.3853,8.2587,0.8518,66.4589
11.5507,8.2767,0.899,66.1993
11.7166,8.2942,0.8776,65.9229
11.8828,8.3128,0.9294,65.6292
12.0495,8.3314,0.9291,65.3178
12.2166,8.3507,0.964,64.9882
12.3839,8.3707,1.004,64.6401
12.5517,8.3908,1.005,64.2732
12.7192,8.3667,-1.2077,63.8874
12.8847,8.2849,-4.0906,63.4854
13.0487,8.2002,-4.236,63.0686
13.2112,8.1158,-4.2153,62.6368
13.3717,8.032,-4.1951,62.1905
13.5307,7.9466,-4.2682,61.7301
13.6879,7.8621,-4.2282,61.2555
13.8435,7.7765,-4.2737,60.7667
13.9974,7.6915,-4.2493,60.2639
14.1495,7.6059,-4.2811,59.7479
14.2998,7.5201,-4.2947,59.2188
14.4486,7.4334,-4.3292,58.6765
14.5954,7.3478,-4.2825,58.1216
14.7406,7.2601,-4.3872,57.5545
14.8842,7.1733,-4.3378,56.9749
15.0259,7.0856,-4.3819,56.3836
15.1658,6.9981,-4.3802,55.7816
15.3041,6.9084,-4.4781,55.1686
15.4405,6.8204,-4.4007,54.545
15.5749,6.7309,-4.482,53.9124
15.7078,6.6395,-4.5643,53.27
15.8387,6.5505,-4.4554,52.619
15.9681,6.4571,-4.661,51.9597
16.0953,6.3668,-4.518,51.2928
16.2207,6.2734,-4.6772,50.6199
16.3444,6.179,-4.7135,49.9405
16.4661,6.0859,-4.6582,49.2558
16.5858,5.9899,-4.7982,48.567
16.7038,5.8938,-4.8063,47.8741
16.8196,5.7975,-4.8169,47.1786
16.9337,5.6988,-4.9315,46.481
17.0457,5.6007,-4.9063,45.7821
17.1556,5.501,-4.9905,45.0834
17.2637,5.3994,-5.0733,44.3848
17.3696,5.2993,-5.0097,43.6878
17.4736,5.1949,-5.2103,42.9932
17.5755,5.0929,-5.1032,42.3017
17.6752,4.9875,-5.2707,41.6148
17.7728,4.8828,-5.2382,40.9334
17.8683,4.7755,-5.3661,40.2582
17.9617,4.668,-5.3688,39.5891
18.053,4.5605,-5.3744,38.9276
18.142,4.4513,-5.4625,38.2753
18.2289,4.3402,-5.5451,37.632
18.3134,4.2312,-5.4601,36.9993
18.3958,4.1177,-5.6731,36.3778
18.4759,4.0061,-5.5773,35.7673
18.5538,3.8929,-5.6604,35.1693
18.6294,3.7789,-5.6949,34.5844
18.7027,3.6643,-5.7275,34.0131
18.7735,3.5503,-5.7169,33.4568
18.8422,3.4327,-5.8775,32.9152
18.9087,3.3172,-5.7648,32.3878
18.9726,3.2015,-5.7978,31.8769
19.0343,3.0822,-5.9533,31.382
19.0936,2.9665,-5.7925,30.9035
19.1505,2.8475,-5.9543,30.4427
19.2051,2.7291,-5.9217,29.9989
19.2573,2.6102,-5.9381,29.5726
19.3072,2.491,-5.9528,29.1639
19.3547,2.3715,-5.9662,28.7732
19.3996,2.253,-5.9396,28.4017
19.4424,2.1311,-6.0794,28.0486
19.4826,2.0131,-5.9093,27.7141
19.5204,1.8921,-6.0608,27.3994
19.556,1.7704,-6.0504,27.1027
